CódigoPedido|CédulaCliente|CédulaRepartidor|CódigoProducto|Cantidad|ValorPagado|FechaPedido|Estado PED1751767148671|0923456789|0967788990|P004|2|2400.0|2025-07-05 20:59:08|En Preparación
PED1751767528684|0923456789|0956677889|P007|3|105.0|2025-07-05 21:05:28|En Preparación
PED1751767656506|0923456789|0967788990|P004|4|4800.0|2025-07-05 21:07:36|En Preparación
PED1751768326114|0923456789|0956677889|P005|3|75.0|2025-07-05 21:18:46|En Preparación
PED1751768364789|0923456789|0956677889|P006|2|240.0|2025-07-05 21:19:24|En Preparación
PED1751768575353|0923456789|0956677889|P012|2|240.0|2025-07-05 21:22:55|En Preparación
PED1751768585830|0923456789|0967788990|P002|3|135.0|2025-07-05 21:23:05|En Preparación
PED1751768669235|0923456789|0967788990|P006|2|240.0|2025-07-05 21:24:29|En Preparación
PED1751769041140|0923456789|0956677889|P001|2|50.0|2025-07-05 21:30:41|En Preparación
PED1751769357987|0923456789|0956677889|P006|2|240.0|2025-07-05 21:35:57|En Preparación
PED1751769727399|0923456789|0956677889|P002|12|540.0|2025-07-05 21:42:07|En Preparación
PED1751769887757|0923456789|0967788990|P001|49|1225.0|2025-07-05 21:44:47|En Preparación
PED1751769898241|0923456789|0956677889|P002|30|1350.0|2025-07-05 21:44:58|En Preparación
